Reward,Throughput,Latancy,PRBs,Penalty
0.0,32.486399999999996,1.5692,0.22899999999999998,0.0
0.0,32.4904,2.22265,0.20400000000000001,0.0
0.0,36.096,1.0311000000000001,0.22700000000000004,0.0
0.0,32.4904,1.6183999999999998,0.22900000000000004,0.0
-0.31552,33.6896,1.279,0.215,0.0
-0.07328,31.2992,1.6269999999999998,0.198,0.0
0.0,32.486399999999996,1.32105,0.20800000000000002,0.0
0.0,33.6896,2.2209,0.20500000000000002,0.0
-1.27488,31.2832,1.17145,0.203,1.0
-1.2,32.486399999999996,2.6022499999999997,0.177,1.0
0.0,32.4904,1.452,0.2,0.0
0.0,32.4904,1.87125,0.189,0.0
0.0,32.486399999999996,1.6882000000000001,0.226,0.0
0.0,32.4904,1.642,0.20800000000000002,0.0
0.0,32.490399999999994,1.6535800000000003,0.2,0.0
0.0,32.486399999999996,1.2226,0.21000000000000002,0.0
0.0,32.486399999999996,1.6191999999999998,0.21200000000000002,0.0
0.0,32.486399999999996,1.2402,0.21200000000000002,0.0
0.0,32.486399999999996,1.5883999999999998,0.242,0.0
0.0,32.4904,1.55463,0.21200000000000002,0.0
0.0,32.4904,1.63767,0.193,0.0
0.0,32.486399999999996,1.4812,0.22199999999999998,0.0
0.0,32.486399999999996,1.3756,0.21100000000000002,0.0
0.0,32.486399999999996,1.4419000000000002,0.21100000000000002,0.0
0.0,32.490399999999994,1.64495,0.189,0.0
-0.07488,31.2872,2.74565,0.199,0.0
0.0,32.486399999999996,1.6299,0.20900000000000002,0.0
0.0,32.486399999999996,1.2364,0.19,0.0
0.0,32.486399999999996,0.9242,0.199,0.0
0.0,32.486399999999996,2.98475,0.216,0.0
0.0,32.4944,2.7332,0.212,0.0
0.0,32.486399999999996,1.1772,0.187,0.0
-1.2,32.486399999999996,1.3296000000000001,0.20800000000000002,1.0
0.0,32.4904,1.4941,0.20800000000000002,0.0
0.0,32.4904,1.6236,0.22900000000000004,0.0
0.0,32.486399999999996,1.1632500000000001,0.22800000000000004,0.0
-1.42304,28.8848,1.7287999999999997,0.186,1.0
0.0,32.486399999999996,2.8524,0.20500000000000002,0.0
0.0,32.4984,1.6527,0.20600000000000002,0.0
0.0,32.4904,1.7804,0.21800000000000003,0.0
0.0,32.4944,1.3792499999999999,0.20800000000000002,0.0
0.0,32.4904,1.63375,0.21800000000000003,0.0
0.0,32.486399999999996,1.49805,0.257,0.0
-1.27408,31.2872,1.4602000000000002,0.203,1.0
0.0,32.486399999999996,1.7595,0.21900000000000003,0.0
0.0,32.486399999999996,3.06325,0.194,0.0
0.0,32.486399999999996,1.4529999999999998,0.189,0.0
-1.27488,31.2832,2.87075,0.179,1.0
0.0,32.486399999999996,1.7347,0.21899999999999997,0.0
0.0,32.4904,2.50753,0.206,0.0
0.0,32.4904,2.9221500000000002,0.206,0.0
0.0,32.486399999999996,1.49425,0.21700000000000003,0.0
0.0,32.486399999999996,1.4160499999999998,0.21700000000000003,0.0
-2.4,32.486399999999996,1.5594999999999999,0.21900000000000003,2.0
0.0,32.486399999999996,1.23895,0.20900000000000002,0.0
0.0,32.486399999999996,1.3640500000000002,0.20900000000000002,0.0
0.0,32.486399999999996,1.60175,0.20900000000000002,0.0
-1.2,32.486399999999996,1.3092000000000001,0.20800000000000002,1.0
0.0,32.486399999999996,1.2106,0.20900000000000002,0.0
-2.4,32.486399999999996,1.0048,0.21900000000000003,2.0
-1.27488,31.2832,1.5867,0.191,1.0
0.0,33.697599999999994,1.5931,0.194,0.0
0.0,32.486399999999996,0.9777499999999999,0.20800000000000002,0.0
-1.2,32.4984,1.76933,0.192,1.0
0.0,32.4944,1.3896000000000002,0.195,0.0
-0.07488,31.295199999999994,1.98267,0.20800000000000002,0.0
